course_id,title,tags,level,android_url,ios_url,diamonds
hUJjiZym7VCPldWTqtVE,Tracking Expenses,budget tracking finance,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,45
hifCYvixqm0Rsjo380AO,Understanding Property Ownership in Malaysia,property ownership real estate,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
iINTgo9I4yxMrdz4ISF2,Stock Valuation Made Simple (For First-Time Stock Investors),stocks valuation investment,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,70
iJ48Mkz6xqXRDECHesLe,Malaysia Didn't Get It All Right—But Diversification Saved Us,economics history investment,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,75
ij4XyHIToM10iqmx3zm5,Important Life Insurance Terms You Must Know,insurance terms protection,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
itguLGNrU0iSspWzNzL4,Why the Ringgit Rises or Falls,currency economics finance,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,65
l0bkBl75j3YaU09haB7C,When Elephants Fight: How the US–China Rivalry Affects Malaysia,economics trade global,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,70
lIEihYcO7CQPYt3avQ5k,Buy-to-Live vs. Buy-to-Let Strategies,property investment strategy,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,70
nA2HQIysqh20MwHip2g0,Government Schemes for First-Time Homebuyers in Malaysia,property housing government,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
oKqc9bK6rgokD8rHOvKk,Understanding Stock Market Indices – Foundations & Beta,stocks investment indices,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,75
oPGKGYACyBDUk8hgxide,The Banker's Call of Doom,scam safety banking,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,45
otvrKnWoyiCsWOSN62fO,Introduction to Bonds and Sukuk,bonds investment islamic,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,70
ozuf1EqRKxyeeT7biUAO,Understanding the True Cost of Owning a Car in Malaysia,car expenses finance,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
p7kyViMR2igOm56qzOEh,How Stocks are Described?,stocks investment basics,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,50
r4QRgNHhlu9GJfhp1Ioc,The Chicken Rice Chain Reaction,economics supply chain food,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
sEVTtQG3I1A96xXyx22V,Debt Management During Economic Uncertainty,debt finance crisis,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,65
sFpgzKZoGQRPduKSFDJU,Breaking down the Top Myths About Life and Medical Insurance,insurance myths protection,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
sGHECXO2fZ87H9q9X78z,How to Research a Stock (Tenaga Nasional Berhad),stocks research investment,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,80
sePqb5fgoRGueuB216NS,From Lounges to Insurance: Travel Card Perks You Didn't Know,credit cards travel perks,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,70
tWhQHgMryqW9Ormh52fj,Retirement Planning Beyond EPF,retirement planning investment,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,75
tnwGzPNs0hchMMBw3XIC,Breaking down top myths related to stock investing,stocks myths investment,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
ttfqfWpM9IDaRWrIf5Ch,Unit Trusts vs. ETFs (Exchange-Traded Funds),investment funds etf,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,75
uapKjyMha0hja9y1Vb3l,Mid to Late-20s: Changing Responsibilities and Priorities,insurance planning life stages,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
uiGZJ7alUZTlrhS49tN2,Stock Screeners and Research Tools,stocks research tools,intermediate,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,70
vWvgRcDHBjBPYNYDEEcz,Understanding Dividends in Stock Investing (1/2),stocks dividends investment,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
vhZbzW4Bc2Sqsn9emtLD,Credit Card vs. Debit Card? Which One is Right for You?,credit cards banking finance,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,50
wkBKO9iXh7zfTQQW5kfV,Understanding EPF & Maximizing Contributions,epf retirement savings,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
yNrinBEHP0wIGcc3wmPz,How Credit Card Interest Works,credit cards interest finance,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,55
ydcTP6nG8HheFMA1cDwj,Step-by-Step Guide to File Taxes in Malaysia,tax filing income,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,60
yloNYMHWywgYkDYcAm03,Sticking to the Budget,budget discipline finance,beginner,https://play.google.com/store/apps/details?id=com.vespid.mobileapp&hl=en,https://apps.apple.com/my/app/vespid/id6744089122,50
